647612 -21 -25
647617 -22 -27
647622 -24 -29
647627 -26 -31
647632 -28 -32
647637 -29 -34
647642 -31 -36
647647 -32 -37
647652 -34 -39
647657 -36 -40
647662 -38 -42
647667 -39 -43
647672 -40 -45
647677 -43 -46
647682 -44 -48
647687 -45 -49
647692 -46 -50
647697 -47 -51
647702 -49 -53
647707 -50 -54
647712 -52 -55
647717 -53 -56
647722 -54 -57
647727 -55 -58
647732 -56 -58
647737 -57 -59
647742 -57 -60
647747 -58 -61
647752 -59 -61
647757 -60 -62
647762 -60 -62
647767 -61 -63
647772 -61 -63
647777 -62 -64
647782 -62 -64
647787 -63 -64
647792 -63 -64
647797 -63 -64
647802 -63 -64
647807 -63 -64
647812 -63 -64
647817 -63 -64
647822 -63 -64
647827 -63 -64
647832 -63 -63
647837 -63 -63
647842 -63 -63
647847 -63 -62
647852 -62 -62
647857 -62 -61
647862 -61 -60
647867 -60 -60
647872 -60 -59
647877 -59 -58
647882 -58 -57
647887 -58 -56
647892 -56 -55
647897 -55 -54
647902 -55 -53
647907 -53 -52
647912 -52 -51
647917 -52 -49
647922 -50 -48
647927 -49 -47
647932 -48 -45
647937 -47 -44
647942 -45 -43
647947 -44 -41
647952 -42 -40
647957 -41 -38
647962 -39 -36
647967 -37 -35
647972 -36 -33
647977 -34 -31
647982 -33 -30
647987 -31 -28
647992 -29 -26
647997 -27 -24
648002 -26 -22
648007 -24 -21
648012 -22 -19
648017 -20 -17
648022 -18 -15
648027 -17 -13
648032 -15 -11
648037 -13 -9
648042 -11 -7
648047 -9 -5
648052 -7 -3
648057 -5 -1
648062 -3 1
648067 -1 3
648072 1 5
648077 2 7
648082 4 9
648087 6 10
648092 8 12
648097 9 14
648102 11 16
648107 13 18
648112 15 20
648117 17 22
648122 19 24
648127 22 25
648132 23 27
648137 24 29
648142 26 31
648147 28 32
648152 30 34
648157 32 36
648162 34 37
648167 35 39
648172 36 40
648177 38 42
648182 40 43
648187 41 45
648192 43 46
648197 44 47
648202 45 49
648207 47 50
648212 48 51
648217 49 52
648222 50 53
648227 51 54
648232 52 55
648237 53 56
648242 54 57
648247 55 58
648252 56 59
648257 57 60
648262 58 60
648267 59 61
648272 59 61
